
央视频道,#genre#
凤凰中文,http://222.217.243.197:8181/tsfile/live/1001_1.m3u8
凤凰资讯,http://222.217.243.197:8181/tsfile/live/1014_1.m3u8
凤凰资讯,http://222.217.243.197:8181/tsfile/live/1015_1.m3u8
凤凰香港,http://222.217.243.197:8181/tsfile/live/1002_1.m3u8
凤凰香港,http://61.178.227.57:9901/tsfile/live/1012_1.m3u8
星空卫视,http://222.217.243.197:8181/tsfile/live/1004_1.m3u8
Channel V,http://222.217.243.197:8181/tsfile/live/1006_1.m3u8
翡翠台[1920*1080],http://r.jdshipin.com/qClQf
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港J2频道[1280*720],http://r.jdshipin.com/Nr5jq
东森洋片[720*540],http://222.217.243.197:8181/tsfile/live/1074_1.m3u8
龙翔时代[720*540],http://222.217.243.197:8181/tsfile/live/1075_1.m3u8
RTHK32[853*480],https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
澳门莲花[1920*1080],http://anren.live/HK/BiIOU11uLA.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
大爱一台[1280*720],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台[1280*720],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
CHC动作电影[1920*1080],http://222.217.243.197:8181/tsfile/live/1102_1.m3u8
CHC高清电影[1920*1080],http://222.217.243.197:8181/tsfile/live/1103_1.m3u8

卫视综合,#genre#

绍兴新闻综合[1280*720],http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed
绍兴文化影院[1280*720],http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
武义新闻综合[720*576],http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
平湖新闻综合[1280*720],http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
平湖民生休闲[1280*720],http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
萧山新闻综合[1280*720],http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山生活频道[1280*720],http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
余杭综合频道[1920*1080],http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
余杭未来E频道[1920*1080],http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
余姚新闻综合[1920*1080],http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余姚姚江文化[720*576],http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8?zzhed
嵊州新闻综合[1280*720],http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
诸暨新闻综合[1920*1080],http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
上虞新闻综合[1920*1080],http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
上虞文化影院[1920*1080],http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
上虞新商都[1920*1080],http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
海宁新闻综合[1920*1080],http://live.hndachao.cn/xwzh/sd/live.m3u8?zzhed
海宁生活服务[1920*1080],http://live.hndachao.cn/shfw/sd/live.m3u8?zzhed
兰溪新闻综合[1280*720],http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
广东文化[1280*720],https://glive.grtn.cn/live/wenhua_test0203.m3u8
河源综合[960*540],https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8?_upt=f767206b1671099007
番禺综合[1920*1080],http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
金鹰卡通[768*576],http://222.217.243.197:8181/tsfile/live/1003_1.m3u8
CETV1[768*576],http://222.217.243.197:8181/tsfile/live/1005_1.m3u8
嘉佳卡通[1024*576],http://222.217.243.197:8181/tsfile/live/1013_1.m3u8
